Series Name,Series Code,Country Name,Country Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,28258.06548,28700.29463,29399.00248,29318.74636,30178.38945,30717.77803,31251.82033,31736.04475,30608.3684,31632.38927,32861.41624,33674.17055,34014.73541,35389.45533,36143.14778,36886.14443,36279.75405,36029.48457,37155.5124,38264.14667,39310.79823,40337.10605,41464.49822,42967.66167,44636.94181,45859.51621,46191.31424,47486.27832,48394.12695,49902.0187,50853.19767,51553.9686,52531.76112,53336.10122,53237.00776,53578.8125,54111.35724,55257.57393,55728.0174,56327.85331,56739.02653,57401.06623,57750.64822,58530.78217,58924.73365,58132.79852,59276.50311,61009.80771,61598.17761,61211.89676
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Austria,AUT,21509.31234,22533.88033,23669.50863,23638.77841,24947.52707,25379.46299,25278.29524,25768.21927,26577.24547,26592.54692,27244.21484,27853.50499,28213.6634,29102.32225,30097.65129,31167.1858,31919.55735,32231.12161,32134.82991,32780.34194,33603.42783,34301.65622,34998.03212,36180.74906,37468.86989,38571.08588,38929.7538,39313.72251,39569.28856,40333.33072,40989.01318,42120.1557,43568.83022,44063.8642,42372.47583,43035.40735,44146.19568,44221.45995,43851.36755,43838.83459,43915.22802,44362.67028,45056.63859,45951.58192,46550.56225,43428.69831,45313.3989,47250.9696,46338.95706,45562.04069
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2866.410606,2808.727443,2141.340038,1621.918093,1284.95555,1120.308678,1123.447938,1177.196859,1282.684137,1365.565851,1504.731067,1640.936642,1782.47319,1949.606092,2111.453383,2674.368856,3556.83212,4412.203257,4778.124516,5118.433951,5300.110494,5149.206652,5193.175009,5425.995589,5508.602659,5500.503646,5272.71817,5229.252597,5261.929382,5346.953193,5087.500227,5349.58226,5599.585251,5668.610205,5871.132218
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,17106.27634,17606.14232,18809.68553,21034.91207,26013.7383,27191.57377,24256.32275,25450.97592,25926.40553,29105.07801,29993.45495,30012.92502,30389.57892,30564.87293,32052.08236,30995.58426,29193.08957,27566.06846,27137.26694,27503.72518,28236.46756,28967.14261,28902.66625,29837.53559,31544.45704,32424.83303,32870.19914,33374.71164,32559.41785,32444.17988,33144.89609,33541.96025,33549.44553,32331.93017,30581.43406,30657.53199,30492.7734,31553.62069,30368.36227,30658.73564,30719.40542,30152.23546,30974.77462,31537.44375,31117.68254,24791.65381,29114.22794,32186.51398,33009.87432,33968.38634
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bahrain,BHR,17582.57544,21815.07648,23475.82664,23251.05311,22978.2198,22551.98609,20521.42502,18310.99086,18811.4381,19065.31915,17516.6361,17091.2903,18193.20734,18774.13952,18183.31193,18345.838,20882.50586,21701.22203,23858.19312,23180.33226,23465.71292,23795.20925,23893.13357,24386.59165,24773.84641,25407.96941,25106.28697,24149.0156,23857.64036,23688.11211,23439.67044,23095.01813,23112.48881,23127.2148,22206.9372,22224.07362,23288.04494,23894.88044,24271.62788,24135.49913,23734.05511,23715.27913,23606.88675,24059.78386,24873.66401,23586.93096,24086.78478,25234.40256,25342.62266,25916.46416
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,373.2603737,384.509552,385.0855203,402.3855959,411.6692665,405.2267703,423.5371229,420.8720045,425.6465712,434.7823516,438.3824788,446.0802531,452.6597569,453.8392369,457.2543348,473.444821,480.673359,497.3711737,511.1935094,521.3231447,537.9319466,552.0771071,566.2711408,584.4481752,600.2323232,620.5604728,641.2889229,655.6721394,676.826252,702.6563571,739.2037184,779.4195704,825.50823,866.4581576,901.7296263,943.6642286,995.5799472,1050.391404,1103.156959,1159.407535,1224.386477,1299.830914,1373.753637,1462.250503,1564.208024,1604.665923,1702.080284,1804.349346,1885.377336,1941.278744
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Barbados,BRB,12792.12539,13335.71314,13811.32042,14489.2088,15650.38802,16318.2291,15960.88459,15129.17443,15151.31177,15639.67364,15755.80857,16508.51496,16892.73261,17452.0562,18056.0932,17426.93518,16696.22733,15691.70533,15770.10133,16050.73978,16347.81938,16982.00879,17779.65248,18439.46839,18495.46863,19351.46384,18867.64903,18892.17321,19184.92804,19344.96079,20004.76674,21117.31411,21454.19711,21477.20806,20294.78267,19763.95236,19555.73211,19438.21791,19191.43755,19160.1223,18954.29137,19251.98342,19237.28749,18974.85718,19064.99759,16166.65595,16099.77497,18959.33516,19734.23803,20474.63918
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2888.812966,2852.830861,2573.29955,2372.485168,2097.381869,1885.360625,1944.687004,2175.403741,2368.78331,2460.369444,2615.36377,2753.033698,2910.399375,3137.262616,3520.404526,3877.717389,4291.686471,4682.206766,5177.645348,5200.774185,5616.094117,5941.689991,6052.637372,6115.432881,6212.916674,5967.055951,5811.201592,5964.896689,6165.913202,6267.735089,6251.988989,6457.730538,6206.619097,6497.784507,6791.326481
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belgium,BEL,21116.99155,22270.85356,22382.64845,22997.27376,23514.51179,24532.45696,24464.58699,24616.83723,24695.56497,25305.03205,25715.35797,26174.75509,26755.69808,27930.4859,28794.65488,29609.62075,30040.55084,30376.87453,29967.39442,30839.24143,31508.62266,31862.66939,32991.50101,33566.98759,34676.60516,35878.31536,36148.28809,36600.86259,36826.26993,37976.6973,38645.26052,39371.08583,40520.08432,40380.9075,39293.63755,39991.56462,40236.95963,40074.4928,40007.89979,40533.9135,40893.80454,41172.88628,41619.32863,42208.36257,43006.40423,40769.02181,43121.94297,44596.786,44722.19553,44837.72427
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belize,BLZ,2557.681598,2504.714345,2612.707578,2762.210272,2907.694049,3183.735457,3139.227094,3058.542657,2921.074465,2909.060078,2871.030403,2934.26575,3177.26856,3411.770993,3771.133848,4111.68186,4498.659882,4966.683281,5165.540621,5055.700525,4966.799587,4874.556622,4914.256223,4930.246294,5212.365504,5662.33419,5763.677213,5893.70035,6273.010586,6381.595978,6335.677777,6434.118644,6465.219364,6183.938918,5997.243308,5919.556621,5777.831129,5866.25149,5998.178309,6109.477784,6154.495935,6016.49647,5772.92692,5729.210452,5886.962235,5003.877848,5824.303943,6269.379974,6212.260518,6622.563814
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Benin,BEN,684.9622916,674.0408665,689.8587863,680.651098,706.1044323,733.4906373,783.9251937,778.638765,723.4835207,758.3611657,791.7271648,785.1430701,750.4038406,752.704035,709.1889077,749.4596666,757.4031451,756.0808882,765.4799144,752.2775087,781.0647885,793.7950527,814.9013954,821.4599714,838.976787,861.213292,879.8544638,893.137101,896.1467632,907.6244312,893.9153687,900.6205358,926.7401138,943.2033803,936.5656511,928.2466553,927.7164128,943.9187715,982.3992063,1014.433006,1002.418869,1006.039266,1032.904712,1071.504522,1114.173045,1126.654041,1176.377276,1218.496689,1263.621583,1324.783126
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bermuda,BMU,66372.49246,72195.1611,76292.23938,77242.7029,78775.06143,84785.74623,86283.5988,81137.13193,82177.83557,81986.71944,79797.38272,84596.35287,87182.1874,90024.09228,89743.05582,89089.73464,85311.04943,84642.60849,86582.8345,86545.78236,89849.12501,91743.29623,95383.02251,98347.90898,100867.9146,109502.7631,116809.9253,114574.4336,118018.8316,120432.1205,122143.7996,128662.9319,132595.4827,129525.1771,121727.5849,118382.909,113937.8357,108040.5757,107860.3948,103941.9826,104855.3668,104190.8767,107734.6084,106843.1637,106709.8812,98999.50766,103134.7295,109642.6719,115124.7172,117661.2717
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bhutan,BTN,370.0560395,389.6654261,406.3373688,420.6822032,426.1595616,432.8386435,482.2357228,483.0235345,516.6780562,523.4221652,527.7916004,570.0542882,713.5871458,725.5549162,756.3809757,812.6713256,795.1918429,863.4638957,917.2912927,963.0165743,1043.38749,1099.858178,1138.399223,1182.987811,1248.616008,1259.623765,1321.098782,1427.256933,1506.415275,1552.739152,1632.021695,1701.118782,1952.257346,2017.760189,2148.564804,2378.728108,2552.488711,2654.747989,2671.074602,2797.81884,2954.040819,3173.367732,3211.809033,3300.550065,3467.38599,3092.124284,3206.20367,3349.733096,3488.844491,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bolivia,BOL,2081.069442,2127.832948,2182.67537,2176.909828,2130.754476,2054.797269,2015.245761,1894.059473,1778.787435,1737.687278,1672.789782,1595.835034,1601.018347,1613.048471,1639.11334,1679.408479,1731.395142,1724.363345,1762.668309,1809.570651,1858.781852,1904.287021,1962.864043,2025.503347,1998.94534,2014.190247,2013.845811,2029.669936,2050.071334,2099.990811,2156.186703,2221.427226,2283.427336,2383.250326,2422.575794,2481.407009,2568.520517,2657.238849,2793.514571,2900.902416,2996.012898,3077.570576,3160.164212,3246.764348,3272.38171,2949.81955,3098.350624,3172.910467,3226.08756,3226.188076
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,791.2116709,715.6899381,704.9996834,747.930429,871.1427243,1012.927055,1497.566248,1973.478015,2261.368694,2452.131939,2566.587821,2616.414125,2742.333626,2854.845046,3062.93619,3216.868817,3418.755013,3663.94489,3927.879656,3876.39718,3980.041283,4093.051522,4138.702184,4305.467556,4411.381023,4662.258837,4876.534724,5099.816138,5360.174439,5583.29732,5490.753671,5995.448176,6327.062939,6493.22234,6698.040674
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Botswana,BWA,1464.687852,1539.173873,1635.512591,1760.570704,1859.494579,2002.996153,2111.345639,2276.049825,2484.517956,2603.448657,2693.781882,2816.769372,3050.231762,3536.423254,3888.730451,4039.465445,4224.098575,4226.739995,4186.145474,4219.440809,4399.138858,4543.210535,4809.443918,4724.936709,5070.94772,5062.642892,4971.963718,5175.476553,5320.440295,5369.425168,5514.217427,5865.000265,6085.635448,6158.616294,5179.413861,5584.503433,5850.078585,5742.919243,6284.976778,6547.122539,6141.203947,6490.834636,6662.576448,6843.846121,6951.73189,6254.248064,6895.911849,7159.586062,7269.051707,6937.33181
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,5148.910619,5543.436379,5679.78591,5821.491312,6069.054743,6472.852146,6055.097814,5967.778996,5664.963685,5841.749865,6167.513437,6494.280879,6591.608829,6463.005452,6545.425756,6149.867889,6107.648837,5973.982856,6167.460922,6427.169019,6596.335727,6640.727007,6764.858421,6687.495236,6621.636762,6817.784241,6823.03397,6944.623375,6941.440457,7258.781852,7409.569132,7622.040071,8003.254131,8330.764598,8246.09707,8792.634361,9067.993163,9167.499239,9366.739324,9338.342783,8936.196617,8577.843767,8628.253089,8722.336303,8771.440513,8435.011433,8799.229458,9032.084816,9288.027015,9564.576077
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,62303.46789,72760.0836,77308.86279,80082.67914,96517.13329,84483.38935,63568.33221,63000.67395,61220.70779,57811.77184,54270.08433,49618.46453,49057.08452,46889.49139,44296.33887,44179.82769,44201.13939,41672.37074,40342.05024,39721.43425,39274.49776,38331.65745,39820.21066,36331.18119,37045.93421,37509.59833,37269.30975,37976.26266,38595.16869,37948.65895,37312.2778,38229.3565,36174.51637,34126.69409,32855.60203,33121.31767,33754.36397,33544.53888,32381.07383,31148.72962,30625.12873,29492.41454,29524.65905,29200.19512,29996.24058,30015.95873,29256.18329,28549.17553,28645.96446,29605.87761
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,..,..,..,..,..,3428.409544,3584.441407,3657.2878,3773.31602,3892.356871,3996.864839,4166.141708,4411.886264,4889.256366,4784.054691,4427.010755,4093.476716,3836.763989,3810.243756,3892.711104,4021.995312,4253.234682,3675.180858,3839.976841,3537.345456,3717.928915,3937.701654,4260.404827,4519.184447,4849.871444,5231.338176,5629.801318,6048.742343,6464.72203,6288.725489,6428.717474,6605.308579,6693.427761,6792.735514,6941.018547,7268.654455,7586.504149,7898.706946,8211.936404,8644.249519,8450.603888,9168.851764,9601.432713,9810.668906,10089.92021
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,294.0507556,312.3859891,306.319821,312.5463784,315.7169684,309.8052836,314.2865826,334.960465,326.7302735,311.7883342,328.7151646,344.9939123,334.888997,344.9044642,343.0898203,332.1532767,353.2067208,345.4018168,348.581211,344.3711841,354.8411885,383.973583,397.8389553,415.2735135,433.1047276,428.3097966,442.9141229,448.1288563,468.2630478,474.0864123,499.1927976,514.1131318,519.2610122,533.4712999,533.4700848,561.8472213,581.6036587,600.7313437,616.7413312,624.5768852,630.1247508,648.4204802,669.2763103,694.4928131,717.0215951,713.8421779,745.4725634,739.3630212,744.1657606,763.9117803
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burundi,BDI,332.0213534,350.4530089,380.7478506,366.4269115,363.3826112,351.9004199,378.9436639,365.7101921,369.2688541,360.9893759,394.9021048,400.1560153,412.6540463,423.9198106,421.2876949,427.0300316,439.1862321,431.9188618,417.9192976,399.3096315,346.3213024,318.3956826,313.3571427,322.0309619,311.2306221,302.2191638,300.7998828,305.4383585,292.3185951,295.2351195,287.030689,291.8663995,290.9791162,292.793765,288.9419178,289.8569506,290.9480321,293.2326205,296.8169006,299.0774794,280.9668313,274.5133634,269.4768896,265.6723943,261.7501802,255.0782184,255.9179507,253.6916416,253.4456512,255.5983958
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,..,..,..,..,..,581.7550658,622.1758438,630.3732152,680.3092708,696.0472557,745.6202291,756.2601004,777.8309574,813.0374585,846.5740361,835.1207232,826.6813993,896.5193596,953.8610111,1113.938065,1248.281044,1365.498206,1492.018474,1652.111172,1809.805826,2037.317209,2051.217339,2127.708723,2186.895004,2379.796362,2514.167793,2683.839439,3056.971029,3238.441593,3159.586987,3194.616677,3309.201216,3341.742105,3361.093877,3383.842281,3415.062667,3560.140073,3719.71306,3853.6794,4115.902835,3255.93629,3471.655342,3997.767633,4192.401264,4475.452997
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cambodia,KHM,775.6130131,832.04637,768.3490094,835.7090438,746.0857241,688.762216,678.011251,659.0622426,663.8855391,671.7302488,679.9895511,678.6700941,790.553707,852.2239753,849.2790497,824.0516558,850.6102212,862.4780309,845.3820043,513.967148,520.9268832,511.6703496,496.7705513,499.0166491,552.9014922,598.5619153,632.833574,662.1883413,719.3334942,775.847139,866.3402901,947.0652201,1030.231176,1090.574758,1117.258342,1155.852369,1221.388399,1295.252715,1376.295576,1464.531159,1547.320104,1645.466716,1753.935305,1884.283748,2008.32094,1908.634275,1938.764367,2011.274333,2085.057485,2183.556824
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cameroon,CMR,1102.176367,1014.076672,1124.037767,1334.487505,1375.918174,1305.683662,1475.989502,1549.612724,1622.468293,1695.95061,1778.880903,1842.964317,1749.424666,1565.134753,1492.281761,1360.477653,1271.046586,1196.850819,1070.982754,1060.873266,1062.016073,1077.389252,1096.697577,1118.5082,1138.362985,1151.276893,1169.926705,1189.967079,1221.094461,1271.743269,1264.743452,1277.329907,1295.730675,1295.022113,1290.899614,1290.901375,1297.306496,1319.669616,1347.213064,1381.819385,1415.000097,1435.618307,1444.906829,1461.0197,1470.317853,1434.519137,1443.576002,1458.661804,1466.768858,1481.395951
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Canada,CAN,24275.81275,25369.46344,25960.6392,26663.7707,27384.67793,27622.3734,28215.53086,26999.07908,27418.49161,28762.9722,29851.64329,30183.40879,31001.12985,31951.55047,32116.92332,31700.54626,30654.33316,30563.37881,31032.75461,32074.15626,32595.45152,32801.30186,33867.00791,34894.61343,36391.53534,37906.86013,38200.45612,38921.6673,39270.02346,40108.75875,41006.22295,41663.51231,42106.87244,42067.56871,40376.41538,41164.33991,42043.64198,42320.64313,42851.17053,43643.23564,43594.1941,43551.3426,44339.38867,44907.34369,45100.29151,42366.12854,44639.19327,45677.68658,45048.28424,44401.71539
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96066.62908,96202.73794,93115.31684,84001.42157,79483.09728,78233.01876,77074.38909,76038.87955,76104.62157,76379.20951,77031.86439,77717.17521,79305.76967,80714.57182,75199.64504,77285.79668,79587.38879,81411.64578,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,564.2607625,586.1371576,602.1997011,603.1196678,581.9822984,549.8510694,535.2718032,569.9098606,517.4005612,559.5760637,574.3248507,587.3483224,551.0394346,551.2093702,547.9736388,519.786736,500.9911509,454.1489682,441.3849075,448.784443,468.1505276,437.9250548,448.6346636,457.1488584,460.8279002,437.1689284,446.6586342,452.8087022,418.2405323,433.8252278,427.9680432,439.2943309,450.7627854,450.3136169,492.2153989,519.1414564,532.3829549,553.7295783,349.8211717,351.5615549,366.3228539,376.8582541,387.3579513,395.0200155,401.8258216,398.8342741,396.0206229,398.915398,397.4677957,390.0905663
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chad,TCD,670.0317221,676.3600084,678.6444665,663.2540086,510.172006,478.2496515,482.648877,485.1132115,534.0506277,537.8616327,648.5050993,603.6978567,568.9879813,635.204574,644.0251321,600.2761876,628.1151352,650.1913926,535.2753258,576.1253432,558.1051686,545.7488107,557.0378352,575.6134548,551.9471867,528.4921791,570.5308626,597.7868837,658.928455,842.1587649,949.0860116,910.7734516,918.2655401,914.2506029,870.3537958,956.7241538,965.5932426,1016.658968,1008.549966,993.2564893,993.9907306,923.4943483,878.9137855,898.6690404,917.0853399,884.7308747,857.2902943,934.9677328,929.9413476,917.386448
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67622.46959,64727.43331,65010.95664,60866.08519,60784.84798,61897.06377,61852.07356,62438.47859,63397.75247,63864.37329,64598.96257,58640.73517,64272.11171,67513.58009,69822.95314,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chile,CHL,3419.827971,3488.609518,3818.628043,4063.418503,4341.27884,4627.193491,4866.126698,4244.098994,3975.622306,4072.504649,4153.370199,4310.543629,4528.633377,4783.260352,5192.6138,5290.536948,5606.865573,6151.765465,6461.732174,6688.297177,7201.131004,7605.28953,8058.942288,8287.450611,8161.451689,8465.353033,8632.014824,8810.690527,9130.784262,9642.374787,10104.42084,10611.6144,11051.34507,11356.09221,11116.40934,11649.28971,12252.84411,12882.83442,13182.73296,13285.95404,13433.9203,13505.09771,13473.34585,13763.00688,13630.59354,12679.024,14051.47136,14283.14895,14280.34756,14579.40011
