Sending Country,Receiving Country,Year,Value,Unit,Source,Region
Côte d'Ivoire,Senegal,2021,89.989410749,USD millions,BCEAO,Africa
Denmark,Morocco,2020,28.261131,USD millions,Bank Al-Maghrib,Africa
Denmark,Senegal,2021,5.476232008,USD millions,BCEAO,Africa
Djibouti,Ethiopia,2020,185.47649889,USD millions,National Bank of Ethiopia,Africa
Egypt,Kenya,2024,"2,710.849916951",USD millions,Central Bank of Kenya,Africa
Equatorial Guinea,Senegal,2021,4.981180446,USD millions,BCEAO,Africa
France,Kenya,2024,"25,420.562300568",USD millions,Central Bank of Kenya,Africa
France,Morocco,2020,"2,740.1718325",USD millions,Bank Al-Maghrib,Africa
France,Senegal,2021,"1,630.192958418",USD millions,BCEAO,Africa
Gabon,Senegal,2021,110.182458279,USD millions,BCEAO,Africa
Germany,Ethiopia,2020,61.4673327,USD millions,National Bank of Ethiopia,Africa
Germany,Kenya,2024,"197,764.185703727",USD millions,Central Bank of Kenya,Africa
Germany,Morocco,2020,349.588167,USD millions,Bank Al-Maghrib,Africa
Germany,Senegal,2021,81.314844041,USD millions,BCEAO,Africa
Germany,Uganda,2022,27.9,USD millions,Bank of Uganda,Africa
Greece,Senegal,2021,7.552688969,USD millions,BCEAO,Africa
Guinea-Bissau,Senegal,2021,20.567153363,USD millions,BCEAO,Africa
India,Kenya,2024,"20,594.869099147",USD millions,Central Bank of Kenya,Africa
India,Senegal,2021,0.067644659,USD millions,BCEAO,Africa
Iraq,Kenya,2024,"18,473.974825301",USD millions,Central Bank of Kenya,Africa
Israel,Ethiopia,2020,16.12958144,USD millions,National Bank of Ethiopia,Africa
Italy,Ethiopia,2020,40.64448902,USD millions,National Bank of Ethiopia,Africa
Italy,Kenya,2024,"33,857.169027017",USD millions,Central Bank of Kenya,Africa
Italy,Morocco,2020,696.568306,USD millions,Bank Al-Maghrib,Africa
Italy,Senegal,2021,966.610341655,USD millions,BCEAO,Africa
Italy,Uganda,2022,10.4,USD millions,Bank of Uganda,Africa
Japan,Kenya,2024,"6,019.671359217",USD millions,Central Bank of Kenya,Africa
Japan,Uganda,2022,10.7,USD millions,Bank of Uganda,Africa
Kenya,Uganda,2022,29.3,USD millions,Bank of Uganda,Africa
Kuwait,Ethiopia,2020,13.69625133,USD millions,National Bank of Ethiopia,Africa
Kuwait,Morocco,2020,107.6373625,USD millions,Bank Al-Maghrib,Africa
Lebanon,Ethiopia,2020,72.80490292,USD millions,National Bank of Ethiopia,Africa
Libya,Senegal,2021,8.0158e-05,USD millions,BCEAO,Africa
Luxembourg,Senegal,2021,10.453967042,USD millions,BCEAO,Africa
Malawi,Kenya,2024,"2,348.468507446",USD millions,Central Bank of Kenya,Africa
Mali,Senegal,2021,59.378847294,USD millions,BCEAO,Africa
Mauritania,Senegal,2021,0.056017187,USD millions,BCEAO,Africa
Morocco,Senegal,2021,2.328185595,USD millions,BCEAO,Africa
Namibia,Kenya,2020,22.27557275,USD millions,Central Bank of Kenya,Africa
Namibia,Morocco,2020,275.3155765,USD millions,Bank Al-Maghrib,Africa
New Zealand,Kenya,2024,"2,997.798884179",USD millions,Central Bank of Kenya,Africa
Niger,Senegal,2021,13.518544121,USD millions,BCEAO,Africa
Nigeria,Kenya,2024,"7,235.873538576",USD millions,Central Bank of Kenya,Africa
Norway,Ethiopia,2020,13.01269086,USD millions,National Bank of Ethiopia,Africa
Norway,Kenya,2024,"20,219.725544913",USD millions,Central Bank of Kenya,Africa
Norway,Morocco,2020,28.665825,USD millions,Bank Al-Maghrib,Africa
Norway,Senegal,2021,0.001034610,USD millions,BCEAO,Africa
Oman,Kenya,2024,"8,642.361559321",USD millions,Central Bank of Kenya,Africa
Oman,Morocco,2020,19.470278,USD millions,Bank Al-Maghrib,Africa
Oman,Uganda,2022,8.7,USD millions,Bank of Uganda,Africa
Portugal,Senegal,2021,28.855230561,USD millions,BCEAO,Africa
Qatar,Kenya,2024,"69,232.138058795",USD millions,Central Bank of Kenya,Africa
Qatar,Morocco,2020,137.6072015,USD millions,Bank Al-Maghrib,Africa
Qatar,Uganda,2022,23,USD millions,Bank of Uganda,Africa
Saudi Arabia,Ethiopia,2020,137.49327083,USD millions,National Bank of Ethiopia,Africa
Saudi Arabia,Kenya,2024,"404,105.02454433",USD millions,Central Bank of Kenya,Africa
Saudi Arabia,Morocco,2020,532.442406,USD millions,Bank Al-Maghrib,Africa
Saudi Arabia,Uganda,2022,195.7,USD millions,Bank of Uganda,Africa
Somalia,Uganda,2022,30,USD millions,Bank of Uganda,Africa
South Africa,Ethiopia,2020,67.93372415,USD millions,National Bank of Ethiopia,Africa
South Africa,Kenya,2024,"24,095.095706679",USD millions,Central Bank of Kenya,Africa
South Africa,Senegal,2021,14.579840557,USD millions,BCEAO,Africa
South Africa,Uganda,2022,28.7,USD millions,Bank of Uganda,Africa
South Sudan,Ethiopia,2020,11.33937986,USD millions,National Bank of Ethiopia,Africa
South Sudan,Kenya,2024,"5,789.706224355",USD millions,Central Bank of Kenya,Africa
South Sudan,Uganda,2022,113.3,USD millions,Bank of Uganda,Africa
Spain,Morocco,2020,705.7301285,USD millions,Bank Al-Maghrib,Africa
Spain,Senegal,2021,682.891794356,USD millions,BCEAO,Africa
Sudan,Ethiopia,2020,1.89005089,USD millions,National Bank of Ethiopia,Africa
Sudan,Uganda,2022,13.8,USD millions,Bank of Uganda,Africa
Sweden,Ethiopia,2020,23.15221747,USD millions,National Bank of Ethiopia,Africa
Sweden,Kenya,2024,"18,233.930534005",USD millions,Central Bank of Kenya,Africa
Sweden,Morocco,2020,32.3417955,USD millions,Bank Al-Maghrib,Africa
Sweden,Senegal,2021,0.009709596,USD millions,BCEAO,Africa
Sweden,Uganda,2022,7.3,USD millions,Bank of Uganda,Africa
Switzerland,Kenya,2024,"51,518.222344458",USD millions,Central Bank of Kenya,Africa
Switzerland,Morocco,2020,119.474662,USD millions,Bank Al-Maghrib,Africa
Tanzania,Kenya,2024,"75,845.291390990",USD millions,Central Bank of Kenya,Africa
The Netherlands,Kenya,2024,"31,220.545359899",USD millions,Central Bank of Kenya,Africa
The Netherlands,Senegal,2021,0.000645780,USD millions,BCEAO,Africa
Togo,Senegal,2021,19.595612958,USD millions,BCEAO,Africa
Tunisia,Senegal,2021,0.198476898,USD millions,BCEAO,Africa
Turkey,Uganda,2022,25.4,USD millions,Bank of Uganda,Africa
Uganda,Kenya,2024,"64,988.791356259",USD millions,Central Bank of Kenya,Africa
United Arab Emirates,Ethiopia,2020,282.08303062,USD millions,National Bank of Ethiopia,Africa
United Arab Emirates,Kenya,2024,"137,814.495861864",USD millions,Central Bank of Kenya,Africa
United Arab Emirates,Morocco,2020,454.6849505,USD millions,Bank Al-Maghrib,Africa
United Arab Emirates,Senegal,2021,4.375840988,USD millions,BCEAO,Africa
United Arab Emirates,Uganda,2022,186.9,USD millions,Bank of Uganda,Africa
United Kingdom,Ethiopia,2020,86.22223346,USD millions,National Bank of Ethiopia,Africa
United Kingdom,Kenya,2024,"358,836.441397577",USD millions,Central Bank of Kenya,Africa
United Kingdom,Morocco,2020,204.8088885,USD millions,Bank Al-Maghrib,Africa
United Kingdom,Senegal,2021,61.392150749,USD millions,BCEAO,Africa
United Kingdom,Uganda,2022,136.6,USD millions,Bank of Uganda,Africa
United States,Ethiopia,2020,387.04401602,USD millions,National Bank of Ethiopia,Africa
United States,Kenya,2024,"2,637,772.27432718",USD millions,Central Bank of Kenya,Africa
United States,Morocco,2020,422.388121,USD millions,Bank Al-Maghrib,Africa
United States,Senegal,2021,479.695927280,USD millions,BCEAO,Africa
United States,Uganda,2022,184.5,USD millions,Bank of Uganda,Africa
Zambia,Kenya,2024,"8,091.510769618",USD millions,Central Bank of Kenya,Africa
Afghanistan,Ecuador,2021,0.03859066,USD millions,Central Bank Data,Latin America
Afghanistan,Mexico,2022,0.295915,USD millions,Central Bank Data,Latin America
Afghanistan,Panama,2022,0.000387472,USD millions,INEC,Latin America
Albania,Ecuador,2021,1.89796382,USD millions,Central Bank Data,Latin America
Albania,Mexico,2022,0.023831,USD millions,Central Bank Data,Latin America
Albania,Panama,2022,0.038935399,USD millions,INEC,Latin America
American Samoa,Ecuador,2021,0.0553291,USD millions,Central Bank Data,Latin America
Angola,Brazil,2022,8.32422068,USD millions,Central Bank Data,Latin America
Angola,Ecuador,2021,0.00924998,USD millions,Central Bank Data,Latin America
Angola,Mexico,2022,0.021185,USD millions,Central Bank Data,Latin America
Angola,Panama,2022,0.00090577,USD millions,INEC,Latin America
Anguilla,Ecuador,2021,0.0424175,USD millions,Central Bank Data,Latin America
Anguilla,Mexico,2022,0.056245,USD millions,Central Bank Data,Latin America
Antigua and Barbuda,Ecuador,2021,0.05750221,USD millions,Central Bank Data,Latin America
Antigua and Barbuda,Jamaica,2022,7.648208936,USD millions,Central Bank Data,Latin America
Antigua and Barbuda,Mexico,2022,0.01536,USD millions,Central Bank Data,Latin America
Antigua and Barbuda,Panama,2022,0.102322835,USD millions,INEC,Latin America
Argentina,Bolivia,2022,68,USD millions,Central Bank Data,Latin America
Argentina,Chile,2021,8.239642018,USD millions,Central Bank Data,Latin America
Argentina,Colombia,2022,18.009561145,USD millions,Central Bank Data,Latin America
Argentina,Ecuador,2021,6.4922729,USD millions,Central Bank Data,Latin America
Argentina,Mexico,2022,18.71145,USD millions,Central Bank Data,Latin America
Argentina,Panama,2022,0.802349126,USD millions,INEC,Latin America
Argentina,Paraguay,2022,25.403764574,USD millions,Central Bank Data,Latin America
Armenia,Ecuador,2021,0.0034,USD millions,Central Bank Data,Latin America
Armenia,Mexico,2022,0.05807,USD millions,Central Bank Data,Latin America
Aruba,Colombia,2022,33.061651351,USD millions,Central Bank Data,Latin America
Aruba,Ecuador,2021,2.48260401,USD millions,Central Bank Data,Latin America
Aruba,Mexico,2022,0.052949,USD millions,Central Bank Data,Latin America
Aruba,Panama,2022,0.371314345,USD millions,INEC,Latin America
Aruba,Suriname,2022,0.616751910,USD millions,Central Bank Data,Latin America
Australia,Chile,2021,8.455789159,USD millions,Central Bank Data,Latin America
Australia,Colombia,2022,139.554616564,USD millions,Central Bank Data,Latin America
Australia,Ecuador,2021,5.56670612,USD millions,Central Bank Data,Latin America
Australia,Mexico,2022,6.321704,USD millions,Central Bank Data,Latin America
Australia,Panama,2022,0.606995904,USD millions,INEC,Latin America
Austria,Ecuador,2021,2.27691379,USD millions,Central Bank Data,Latin America
Austria,Mexico,2022,0.3355,USD millions,Central Bank Data,Latin America
Austria,Panama,2022,0.260785796,USD millions,INEC,Latin America
Azerbaijan,Ecuador,2021,0.1052554,USD millions,Central Bank Data,Latin America
Azerbaijan,Mexico,2022,0.000339,USD millions,Central Bank Data,Latin America
Bahamas,Ecuador,2021,1.19725033,USD millions,Central Bank Data,Latin America
Bahamas,Haiti,2019,47.883664352,USD millions,Central Bank Data,Latin America
Bahamas,Jamaica,2022,21.752802625,USD millions,Central Bank Data,Latin America
Bahamas,Mexico,2022,1.002488,USD millions,Central Bank Data,Latin America
Bahamas,Panama,2022,0.964305300,USD millions,INEC,Latin America
Bahrain,Ecuador,2021,0.06671668,USD millions,Central Bank Data,Latin America
Bahrain,Mexico,2022,0.053798,USD millions,Central Bank Data,Latin America
Barbados,Ecuador,2021,0.01994765,USD millions,Central Bank Data,Latin America
Barbados,Jamaica,2022,4.181996858,USD millions,Central Bank Data,Latin America
Barbados,Mexico,2022,0.000827,USD millions,Central Bank Data,Latin America
Barbados,Panama,2022,0.082558817,USD millions,INEC,Latin America
Belarus,Ecuador,2021,0.12746578,USD millions,Central Bank Data,Latin America
Belarus,Mexico,2022,0.005382,USD millions,Central Bank Data,Latin America
Belgium,Colombia,2022,21.769062927,USD millions,Central Bank Data,Latin America
Belgium,Ecuador,2021,21.50461288,USD millions,Central Bank Data,Latin America
Belgium,Mexico,2022,0.632507,USD millions,Central Bank Data,Latin America
Belgium,Panama,2022,0.493700313,USD millions,INEC,Latin America
Belgium,Suriname,2022,6.562809501,USD millions,Central Bank Data,Latin America
Belize,Ecuador,2021,0.0741716,USD millions,Central Bank Data,Latin America
Belize,Mexico,2022,0.473696,USD millions,Central Bank Data,Latin America
Belize,Panama,2022,0.129584041,USD millions,INEC,Latin America
Benin,Ecuador,2021,0.02850657,USD millions,Central Bank Data,Latin America
Benin,Mexico,2022,0.008055,USD millions,Central Bank Data,Latin America
Bermuda,Ecuador,2021,0.348266,USD millions,Central Bank Data,Latin America
Bermuda,Jamaica,2022,7.524725273,USD millions,Central Bank Data,Latin America
Bermuda,Mexico,2022,0.09333,USD millions,Central Bank Data,Latin America
Bermuda,Panama,2022,0.061535757,USD millions,INEC,Latin America
Bolivia,Chile,2021,9.414321651,USD millions,Central Bank Data,Latin America
Bolivia,Colombia,2022,24.401610999,USD millions,Central Bank Data,Latin America
Bolivia,Ecuador,2021,7.44350471,USD millions,Central Bank Data,Latin America
Bolivia,Mexico,2022,10.471064,USD millions,Central Bank Data,Latin America
Bolivia,Panama,2022,1.540783443,USD millions,INEC,Latin America
Bosnia and Herzegovina,Ecuador,2021,0.01810642,USD millions,Central Bank Data,Latin America
Bosnia and Herzegovina,Mexico,2022,0.023966,USD millions,Central Bank Data,Latin America
Botswana,Ecuador,2021,0.002811,USD millions,Central Bank Data,Latin America
Botswana,Mexico,2022,0.000963,USD millions,Central Bank Data,Latin America
Brazil,Bolivia,2022,83,USD millions,Central Bank Data,Latin America
Brazil,Chile,2021,5.424475332,USD millions,Central Bank Data,Latin America
Brazil,Colombia,2022,100.096094712,USD millions,Central Bank Data,Latin America
Brazil,Ecuador,2021,12.98441998,USD millions,Central Bank Data,Latin America
Brazil,Haiti,2019,75.644931398,USD millions,Central Bank Data,Latin America
Brazil,Mexico,2022,39.469823,USD millions,Central Bank Data,Latin America
Brazil,Panama,2022,9.082440833,USD millions,INEC,Latin America
Brazil,Paraguay,2022,11.838549857,USD millions,Central Bank Data,Latin America
British Virgin Islands,Ecuador,2021,0.01832945,USD millions,Central Bank Data,Latin America
British Virgin Islands,Jamaica,2022,7.559672433,USD millions,Central Bank Data,Latin America
British Virgin Islands,Mexico,2022,0.007236,USD millions,Central Bank Data,Latin America
British Virgin Islands,Panama,2022,0.064766636,USD millions,INEC,Latin America
Brunei Darussalam,Ecuador,2021,0.00104482,USD millions,Central Bank Data,Latin America
Bulgaria,Ecuador,2021,0.09197525,USD millions,Central Bank Data,Latin America
Bulgaria,Mexico,2022,0.031933,USD millions,Central Bank Data,Latin America
Bulgaria,Panama,2022,0.010352968,USD millions,INEC,Latin America
Burkina Faso,Ecuador,2021,0.02703836,USD millions,Central Bank Data,Latin America
Burkina Faso,Mexico,2022,0.098277,USD millions,Central Bank Data,Latin America
Burundi,Ecuador,2021,0.001106,USD millions,Central Bank Data,Latin America
Burundi,Mexico,2022,5.8e-05,USD millions,Central Bank Data,Latin America
Cabo Verde,Ecuador,2021,0.02254153,USD millions,Central Bank Data,Latin America
Cabo Verde,Mexico,2022,0.008431,USD millions,Central Bank Data,Latin America
Cambodia,Ecuador,2021,0.010467,USD millions,Central Bank Data,Latin America
Cambodia,Mexico,2022,0.011224,USD millions,Central Bank Data,Latin America
Cameroon,Ecuador,2021,0.32855389,USD millions,Central Bank Data,Latin America
Cameroon,Mexico,2022,0.148448,USD millions,Central Bank Data,Latin America
Cameroon,Panama,2022,0.068733711,USD millions,INEC,Latin America
Canada,Brazil,2022,88.11104413,USD millions,Central Bank Data,Latin America
Canada,Chile,2021,14.375961662,USD millions,Central Bank Data,Latin America
Canada,Colombia,2022,226.595455817,USD millions,Central Bank Data,Latin America
Canada,Costa Rica,2022,64.675969163,USD millions,Central Bank Data,Latin America
Canada,Dominican Republic,2022,64.675969163,USD millions,Central Bank Data,Latin America
Canada,Ecuador,2021,49.43577867,USD millions,Central Bank Data,Latin America
Canada,Haiti,2019,92.785748670,USD millions,Central Bank Data,Latin America
Canada,Honduras,2022,13.52228638,USD millions,Central Bank Data,Latin America
Canada,Jamaica,2022,297.878462532,USD millions,Central Bank Data,Latin America
Canada,Mexico,2022,750.433214,USD millions,Central Bank Data,Latin America
Canada,Nicaragua,2022,20.1,USD millions,Central Bank Data,Latin America
Canada,Panama,2022,7.925555879,USD millions,INEC,Latin America
Canada,Suriname,2022,1.247295849,USD millions,Central Bank Data,Latin America
Cayman Islands,Colombia,2022,2.392407825,USD millions,Central Bank Data,Latin America
Cayman Islands,Ecuador,2021,0.40104036,USD millions,Central Bank Data,Latin America
Cayman Islands,Honduras,2022,1.72606866,USD millions,Central Bank Data,Latin America
Cayman Islands,Jamaica,2022,174.760479679,USD millions,Central Bank Data,Latin America
Cayman Islands,Mexico,2022,0.384943,USD millions,Central Bank Data,Latin America
Cayman Islands,Panama,2022,0.150803386,USD millions,INEC,Latin America
Central African Republic,Ecuador,2021,0.00332266,USD millions,Central Bank Data,Latin America
Chad,Ecuador,2021,0.00195866,USD millions,Central Bank Data,Latin America
Chad,Mexico,2022,0.000587,USD millions,Central Bank Data,Latin America
Chile,Bolivia,2022,310,USD millions,Central Bank Data,Latin America
Chile,Colombia,2022,482.354006081,USD millions,Central Bank Data,Latin America
Chile,Ecuador,2021,144.48489191,USD millions,Central Bank Data,Latin America
Chile,Haiti,2019,170.264649515,USD millions,Central Bank Data,Latin America
Chile,Mexico,2022,58.293487,USD millions,Central Bank Data,Latin America
Chile,Panama,2022,8.323886737,USD millions,INEC,Latin America
Chile,Paraguay,2022,9.833799211,USD millions,Central Bank Data,Latin America
China,Chile,2021,1.525736260,USD millions,Central Bank Data,Latin America
China,Colombia,2022,0.902620728,USD millions,Central Bank Data,Latin America
China,Ecuador,2021,1.62896649,USD millions,Central Bank Data,Latin America
China,Mexico,2022,0.262623,USD millions,Central Bank Data,Latin America
China,Panama,2022,0.358087957,USD millions,INEC,Latin America
"China, Hong Kong SAR",Ecuador,2021,0.30181379,USD millions,Central Bank Data,Latin America
"China, Hong Kong SAR",Mexico,2022,0.028872,USD millions,Central Bank Data,Latin America
"China, Hong Kong SAR",Panama,2022,0.360325598,USD millions,INEC,Latin America
"China, Macao SAR",Panama,2022,0.004601018,USD millions,INEC,Latin America
"China, Taiwan Province of",Ecuador,2021,0.07381492,USD millions,Central Bank Data,Latin America
China,Ecuador,2021,0.07381492,USD millions,Central Bank Data,Latin America
China,Mexico,2022,0.003889,USD millions,Central Bank Data,Latin America
China,Panama,2022,0.029001533,USD millions,INEC,Latin America
Colombia,Chile,2021,10.826573272,USD millions,Central Bank Data,Latin America
Colombia,Ecuador,2021,48.78118881,USD millions,Central Bank Data,Latin America
Colombia,Mexico,2022,129.091259,USD millions,Central Bank Data,Latin America
Colombia,Panama,2022,15.417618992,USD millions,INEC,Latin America
Comoros,Mexico,2022,0.000259,USD millions,Central Bank Data,Latin America
Congo,Mexico,2022,0.05657,USD millions,Central Bank Data,Latin America
Congo,Panama,2022,0.013434995,USD millions,INEC,Latin America
Costa Rica,Colombia,2022,28.211136338,USD millions,Central Bank Data,Latin America
Costa Rica,Ecuador,2021,3.14762372,USD millions,Central Bank Data,Latin America
Costa Rica,Honduras,2022,1.0977142,USD millions,Central Bank Data,Latin America
Costa Rica,Mexico,2022,16.248115,USD millions,Central Bank Data,Latin America
Costa Rica,Nicaragua,2022,185.3,USD millions,Central Bank Data,Latin America
Costa Rica,Panama,2022,6.008642539,USD millions,INEC,Latin America
Croatia,Ecuador,2021,0.06871717,USD millions,Central Bank Data,Latin America
Croatia,Mexico,2022,0.023571,USD millions,Central Bank Data,Latin America
Cuba,Ecuador,2021,0.00204,USD millions,Central Bank Data,Latin America
Cuba,Mexico,2022,2.4e-05,USD millions,Central Bank Data,Latin America
Curaçao,Colombia,2022,3.742219159,USD millions,Central Bank Data,Latin America
Curaçao,Ecuador,2021,0.98085808,USD millions,Central Bank Data,Latin America
Curaçao,Jamaica,2022,2.386317950,USD millions,Central Bank Data,Latin America
Curaçao,Mexico,2022,0.03468,USD millions,Central Bank Data,Latin America
Cyprus,Ecuador,2021,0.05351243,USD millions,Central Bank Data,Latin America
Cyprus,Mexico,2022,0.014274,USD millions,Central Bank Data,Latin America
Czechia,Ecuador,2021,0.24212332,USD millions,Central Bank Data,Latin America
Czechia,Mexico,2022,0.037396,USD millions,Central Bank Data,Latin America
Czechia,Panama,2022,0.065862787,USD millions,INEC,Latin America
Dem. People's Republic of ..,Ecuador,2021,0.63828916,USD millions,Central Bank Data,Latin America
Democratic Republic of the,Ecuador,2021,0.07578686,USD millions,Central Bank Data,Latin America
Congo,Ecuador,2021,0.07578686,USD millions,Central Bank Data,Latin America
Congo,Mexico,2022,0.377893,USD millions,Central Bank Data,Latin America
Denmark,Ecuador,2021,1.15053584,USD millions,Central Bank Data,Latin America
Denmark,Mexico,2022,0.31848,USD millions,Central Bank Data,Latin America
Denmark,Panama,2022,0.230669853,USD millions,INEC,Latin America
Djibouti,Mexico,2022,0.000503,USD millions,Central Bank Data,Latin America
Dominica,Ecuador,2021,0.01993682,USD millions,Central Bank Data,Latin America
Dominica,Mexico,2022,0.011373,USD millions,Central Bank Data,Latin America
Dominica,Panama,2022,0.096307644,USD millions,INEC,Latin America
Dominican Republic,Colombia,2022,28.542400070,USD millions,Central Bank Data,Latin America
Dominican Republic,Ecuador,2021,5.23839776,USD millions,Central Bank Data,Latin America
Dominican Republic,Haiti,2019,67.948160177,USD millions,Central Bank Data,Latin America
Dominican Republic,Mexico,2022,60.380278,USD millions,Central Bank Data,Latin America
Dominican Republic,Panama,2022,4.327045551,USD millions,INEC,Latin America
Ecuador,Chile,2021,8.539673828,USD millions,Central Bank Data,Latin America
Ecuador,Colombia,2022,244.241803388,USD millions,Central Bank Data,Latin America
Ecuador,Mexico,2022,218.405967,USD millions,Central Bank Data,Latin America
Ecuador,Panama,2022,9.276093832,USD millions,INEC,Latin America
Egypt,Ecuador,2021,0.31432188,USD millions,Central Bank Data,Latin America
Egypt,Mexico,2022,0.069086,USD millions,Central Bank Data,Latin America
El Salvador,Ecuador,2021,2.64085197,USD millions,Central Bank Data,Latin America
El Salvador,Honduras,2022,1.93960663,USD millions,Central Bank Data,Latin America
El Salvador,Mexico,2022,49.696868,USD millions,Central Bank Data,Latin America
El Salvador,Panama,2022,2.713245005,USD millions,INEC,Latin America
El salvador,Nicaragua,2022,7.4,USD millions,Central Bank Data,Latin America
Equatorial Guinea,Ecuador,2021,0.1676052,USD millions,Central Bank Data,Latin America
Equatorial Guinea,Mexico,2022,0.018096,USD millions,Central Bank Data,Latin America
Estonia,Ecuador,2021,0.0339721,USD millions,Central Bank Data,Latin America
Estonia,Mexico,2022,0.015299,USD millions,Central Bank Data,Latin America
Estonia,Panama,2022,0.007195295,USD millions,INEC,Latin America
Ethiopia,Ecuador,2021,0.00465,USD millions,Central Bank Data,Latin America
Fiji,Ecuador,2021,0.00076492,USD millions,Central Bank Data,Latin America
Fiji,Mexico,2022,0.000673,USD millions,Central Bank Data,Latin America
Fiji,Panama,2022,0.013704658,USD millions,INEC,Latin America
Finland,Ecuador,2021,0.48335246,USD millions,Central Bank Data,Latin America
Finland,Mexico,2022,0.155682,USD millions,Central Bank Data,Latin America
France,Brazil,2022,163.9125814,USD millions,Central Bank Data,Latin America
France,Chile,2021,5.938098411,USD millions,Central Bank Data,Latin America
France,Colombia,2022,99.825825937,USD millions,Central Bank Data,Latin America
France,Costa Rica,2022,38.032310513,USD millions,Central Bank Data,Latin America
France,Dominican Republic,2022,38.032310513,USD millions,Central Bank Data,Latin America
France,Ecuador,2021,42.7259938,USD millions,Central Bank Data,Latin America
France,Haiti,2019,102.978233530,USD millions,Central Bank Data,Latin America
France,Mexico,2022,31.680909,USD millions,Central Bank Data,Latin America
France,Panama,2022,3.842911423,USD millions,INEC,Latin America
France,Paraguay,2022,10.816578907,USD millions,Central Bank Data,Latin America
France,Suriname,2022,12.240023521,USD millions,Central Bank Data,Latin America
French Guiana,Ecuador,2021,0.08562073,USD millions,Central Bank Data,Latin America
French Guiana,Mexico,2022,0.046422,USD millions,Central Bank Data,Latin America
French Guiana,Suriname,2022,1.281711937,USD millions,Central Bank Data,Latin America
Gabon,Ecuador,2021,0.06554742,USD millions,Central Bank Data,Latin America
Gabon,Mexico,2022,0.022042,USD millions,Central Bank Data,Latin America
Gambia,Ecuador,2021,0.0362795,USD millions,Central Bank Data,Latin America
Gambia,Mexico,2022,0.002043,USD millions,Central Bank Data,Latin America
Georgia,Ecuador,2021,0.06246092,USD millions,Central Bank Data,Latin America
Georgia,Panama,2022,0.042785842,USD millions,INEC,Latin America
Germany,Brazil,2022,165.88350396,USD millions,Central Bank Data,Latin America
Germany,Colombia,2022,90.518242957,USD millions,Central Bank Data,Latin America
Germany,Costa Rica,2022,35.486304486,USD millions,Central Bank Data,Latin America
Germany,Dominican Republic,2022,35.486304486,USD millions,Central Bank Data,Latin America
Germany,Ecuador,2021,43.63440476,USD millions,Central Bank Data,Latin America
Germany,Jamaica,2022,3.153140938,USD millions,Central Bank Data,Latin America
Germany,Mexico,2022,29.728509,USD millions,Central Bank Data,Latin America
Germany,Panama,2022,1.814178686,USD millions,INEC,Latin America
Germany,Paraguay,2022,4.595153403,USD millions,Central Bank Data,Latin America
Gibraltar,Panama,2022,0.012120878,USD millions,INEC,Latin America
Greece,Ecuador,2021,0.43122064,USD millions,Central Bank Data,Latin America
Greece,Mexico,2022,0.200955,USD millions,Central Bank Data,Latin America
Greece,Panama,2022,0.178702057,USD millions,INEC,Latin America
Grenada,Ecuador,2021,0.05947455,USD millions,Central Bank Data,Latin America
Grenada,Mexico,2022,0.01519,USD millions,Central Bank Data,Latin America
