Sending_Country,Receiving_Country,Year,Value,Unit,Source,Region,Sending_Country_Code,Receiving_Country_Code,Sending_Country_GDP,Receiving_Country_GDP
Spain,Morocco,2020,705.7301285,USD millions,Bank Al-Maghrib,Africa,ESP,MAR,1187633.21729202,114775.951852213
Spain,Senegal,2021,682.891794356,USD millions,BCEAO,Africa,ESP,SEN,1267004.4578269199,24359.596784117002
Sudan,Ethiopia,2020,1.89005089,USD millions,National Bank of Ethiopia,Africa,SDN,ETH,49449.890489355006,95071.77581198269
Sudan,Uganda,2022,13.8,USD millions,Bank of Uganda,Africa,SDN,UGA,48061.1199479824,44147.216889624004
Sweden,Ethiopia,2020,23.15221747,USD millions,National Bank of Ethiopia,Africa,SWE,ETH,535436.339440588,95071.77581198269
Sweden,Kenya,2024,"18,233.930534005",USD millions,Central Bank of Kenya,Africa,SWE,KEN,580446.460657157,104575.203135656
Sweden,Morocco,2020,32.3417955,USD millions,Bank Al-Maghrib,Africa,SWE,MAR,535436.339440588,114775.951852213
Sweden,Senegal,2021,0.009709596,USD millions,BCEAO,Africa,SWE,SEN,567227.918083309,24359.596784117002
Sweden,Uganda,2022,7.3,USD millions,Bank of Uganda,Africa,SWE,UGA,575505.409859556,44147.216889624004
Switzerland,Kenya,2024,"51,518.222344458",USD millions,Central Bank of Kenya,Africa,CHE,KEN,811109.937475131,104575.203135656
Switzerland,Morocco,2020,119.474662,USD millions,Bank Al-Maghrib,Africa,CHE,MAR,731108.655210761,114775.951852213
Tanzania,Kenya,2024,"75,845.291390990",USD millions,Central Bank of Kenya,Africa,TZA,KEN,74463.2252684644,104575.203135656
The Netherlands,Kenya,2024,"31,220.545359899",USD millions,Central Bank of Kenya,Africa,NLD,KEN,926182.265714104,104575.203135656
The Netherlands,Senegal,2021,0.000645780,USD millions,BCEAO,Africa,NLD,SEN,872809.729132839,24359.596784117002
Togo,Senegal,2021,19.595612958,USD millions,BCEAO,Africa,TGO,SEN,7415.21371765264,24359.596784117002
Tunisia,Senegal,2021,0.198476898,USD millions,BCEAO,Africa,TUN,SEN,47020.260421799,24359.596784117002
Turkey,Uganda,2022,25.4,USD millions,Bank of Uganda,Africa,TUR,UGA,1194401.44255695,44147.216889624004
Uganda,Kenya,2024,"64,988.791356259",USD millions,Central Bank of Kenya,Africa,UGA,KEN,49356.997179083395,104575.203135656
United Arab Emirates,Ethiopia,2020,282.08303062,USD millions,National Bank of Ethiopia,Africa,ARE,ETH,383342.65633337403,95071.77581198269
United Arab Emirates,Kenya,2024,"137,814.495861864",USD millions,Central Bank of Kenya,Africa,ARE,KEN,462404.360915143,104575.203135656
United Arab Emirates,Morocco,2020,454.6849505,USD millions,Bank Al-Maghrib,Africa,ARE,MAR,383342.65633337403,114775.951852213
United Arab Emirates,Senegal,2021,4.375840988,USD millions,BCEAO,Africa,ARE,SEN,400036.290964175,24359.596784117002
United Arab Emirates,Uganda,2022,186.9,USD millions,Bank of Uganda,Africa,ARE,UGA,430077.804445494,44147.216889624004
United Kingdom,Ethiopia,2020,86.22223346,USD millions,National Bank of Ethiopia,Africa,GBR,ETH,2831893.57701153,95071.77581198269
United Kingdom,Kenya,2024,"358,836.441397577",USD millions,Central Bank of Kenya,Africa,GBR,KEN,3271966.95594246,104575.203135656
United Kingdom,Morocco,2020,204.8088885,USD millions,Bank Al-Maghrib,Africa,GBR,MAR,2831893.57701153,114775.951852213
United Kingdom,Senegal,2021,61.392150749,USD millions,BCEAO,Africa,GBR,SEN,3074755.37897802,24359.596784117002
United Kingdom,Uganda,2022,136.6,USD millions,Bank of Uganda,Africa,GBR,UGA,3223545.4108056203,44147.216889624004
United States,Ethiopia,2020,387.04401602,USD millions,National Bank of Ethiopia,Africa,USA,ETH,19723580.2219382,95071.77581198269
United States,Kenya,2024,"2,637,772.27432718",USD millions,Central Bank of Kenya,Africa,USA,KEN,22679489.9695556,104575.203135656
United States,Morocco,2020,422.388121,USD millions,Bank Al-Maghrib,Africa,USA,MAR,19723580.2219382,114775.951852213
United States,Senegal,2021,479.695927280,USD millions,BCEAO,Africa,USA,SEN,20917853.4446683,24359.596784117002
United States,Uganda,2022,184.5,USD millions,Bank of Uganda,Africa,USA,UGA,21443388.432051,44147.216889624004
Zambia,Kenya,2024,"8,091.510769618",USD millions,Central Bank of Kenya,Africa,ZMB,KEN,28695.8241191189,104575.203135656
Afghanistan,Ecuador,2021,0.03859066,USD millions,Central Bank Data,Latin America,AFG,ECU,16345.2025625485,102825.145845295
Afghanistan,Mexico,2022,0.295915,USD millions,Central Bank Data,Latin America,AFG,MEX,15325.2338101388,1287850.32341001
Afghanistan,Panama,2022,0.000387472,USD millions,INEC,Latin America,AFG,PAN,15325.2338101388,70048.9853448611
Albania,Ecuador,2021,1.89796382,USD millions,Central Bank Data,Latin America,ALB,ECU,13722.964212462,102825.145845295
Albania,Mexico,2022,0.023831,USD millions,Central Bank Data,Latin America,ALB,MEX,14385.3299935341,1287850.32341001
Albania,Panama,2022,0.038935399,USD millions,INEC,Latin America,ALB,PAN,14385.3299935341,70048.9853448611
American Samoa,Ecuador,2021,0.0553291,USD millions,Central Bank Data,Latin America,ASM,ECU,651.4229007633589,102825.145845295
Angola,Brazil,2022,8.32422068,USD millions,Central Bank Data,Latin America,AGO,BRA,84883.4458381604,1899505.37755802
Angola,Ecuador,2021,0.00924998,USD millions,Central Bank Data,Latin America,AGO,ECU,82375.3419525616,102825.145845295
Angola,Mexico,2022,0.021185,USD millions,Central Bank Data,Latin America,AGO,MEX,84883.4458381604,1287850.32341001
Angola,Panama,2022,0.00090577,USD millions,INEC,Latin America,AGO,PAN,84883.4458381604,70048.9853448611
Anguilla,Ecuador,2021,0.0424175,USD millions,Central Bank Data,Latin America,AIA,ECU,,102825.145845295
Anguilla,Mexico,2022,0.056245,USD millions,Central Bank Data,Latin America,AIA,MEX,,1287850.32341001
Antigua and Barbuda,Ecuador,2021,0.05750221,USD millions,Central Bank Data,Latin America,ATG,ECU,1485.4079403184098,102825.145845295
Antigua and Barbuda,Jamaica,2022,7.648208936,USD millions,Central Bank Data,Latin America,ATG,JAM,1620.69601730498,14806.3802902635
Antigua and Barbuda,Mexico,2022,0.01536,USD millions,Central Bank Data,Latin America,ATG,MEX,1620.69601730498,1287850.32341001
Antigua and Barbuda,Panama,2022,0.102322835,USD millions,INEC,Latin America,ATG,PAN,1620.69601730498,70048.9853448611
Argentina,Bolivia,2022,68,USD millions,Central Bank Data,Latin America,ARG,BOL,598603.016935287,38319.7283375714
Argentina,Chile,2021,8.239642018,USD millions,Central Bank Data,Latin America,ARG,CHL,568636.554720066,273390.12003128
Argentina,Colombia,2022,18.009561145,USD millions,Central Bank Data,Latin America,ARG,COL,598603.016935287,354752.90089902
Argentina,Ecuador,2021,6.4922729,USD millions,Central Bank Data,Latin America,ARG,ECU,568636.554720066,102825.145845295
Argentina,Mexico,2022,18.71145,USD millions,Central Bank Data,Latin America,ARG,MEX,598603.016935287,1287850.32341001
Argentina,Panama,2022,0.802349126,USD millions,INEC,Latin America,ARG,PAN,598603.016935287,70048.9853448611
Argentina,Paraguay,2022,25.403764574,USD millions,Central Bank Data,Latin America,ARG,PRY,598603.016935287,42037.90309474491
Armenia,Ecuador,2021,0.0034,USD millions,Central Bank Data,Latin America,ARM,ECU,12633.615899668199,102825.145845295
Armenia,Mexico,2022,0.05807,USD millions,Central Bank Data,Latin America,ARM,MEX,14225.4515029981,1287850.32341001
Aruba,Colombia,2022,33.061651351,USD millions,Central Bank Data,Latin America,ABW,COL,3210.40700876028,354752.90089902
Aruba,Ecuador,2021,2.48260401,USD millions,Central Bank Data,Latin America,ABW,ECU,2958.41190544105,102825.145845295
Aruba,Mexico,2022,0.052949,USD millions,Central Bank Data,Latin America,ABW,MEX,3210.40700876028,1287850.32341001
Aruba,Panama,2022,0.371314345,USD millions,INEC,Latin America,ABW,PAN,3210.40700876028,70048.9853448611
Aruba,Suriname,2022,0.616751910,USD millions,Central Bank Data,Latin America,ABW,SUR,3210.40700876028,4412.832154845641
Australia,Chile,2021,8.455789159,USD millions,Central Bank Data,Latin America,AUS,CHL,1522541.4042276298,273390.12003128
Australia,Colombia,2022,139.554616564,USD millions,Central Bank Data,Latin America,AUS,COL,1587133.48080453,354752.90089902
Australia,Ecuador,2021,5.56670612,USD millions,Central Bank Data,Latin America,AUS,ECU,1522541.4042276298,102825.145845295
Australia,Mexico,2022,6.321704,USD millions,Central Bank Data,Latin America,AUS,MEX,1587133.48080453,1287850.32341001
Australia,Panama,2022,0.606995904,USD millions,INEC,Latin America,AUS,PAN,1587133.48080453,70048.9853448611
Austria,Ecuador,2021,2.27691379,USD millions,Central Bank Data,Latin America,AUT,ECU,405817.601897046,102825.145845295
Austria,Mexico,2022,0.3355,USD millions,Central Bank Data,Latin America,AUT,MEX,427236.22672829794,1287850.32341001
Austria,Panama,2022,0.260785796,USD millions,INEC,Latin America,AUT,PAN,427236.22672829794,70048.9853448611
Azerbaijan,Ecuador,2021,0.1052554,USD millions,Central Bank Data,Latin America,AZE,ECU,54232.7275522244,102825.145845295
Azerbaijan,Mexico,2022,0.000339,USD millions,Central Bank Data,Latin America,AZE,MEX,56789.6273168954,1287850.32341001
Bahamas,Ecuador,2021,1.19725033,USD millions,Central Bank Data,Latin America,BHS,ECU,11540.093873180402,102825.145845295
Bahamas,Haiti,2019,47.883664352,USD millions,Central Bank Data,Latin America,BHS,HTI,12281.371357681299,15485.274058243
Bahamas,Jamaica,2022,21.752802625,USD millions,Central Bank Data,Latin America,BHS,JAM,12795.3623928778,14806.3802902635
Bahamas,Mexico,2022,1.002488,USD millions,Central Bank Data,Latin America,BHS,MEX,12795.3623928778,1287850.32341001
Bahamas,Panama,2022,0.964305300,USD millions,INEC,Latin America,BHS,PAN,12795.3623928778,70048.9853448611
Bahrain,Ecuador,2021,0.06671668,USD millions,Central Bank Data,Latin America,BHR,ECU,36235.3159860804,102825.145845295
Bahrain,Mexico,2022,0.053798,USD millions,Central Bank Data,Latin America,BHR,MEX,38474.7169451891,1287850.32341001
Barbados,Ecuador,2021,0.01994765,USD millions,Central Bank Data,Latin America,BRB,ECU,4542.50320952524,102825.145845295
Barbados,Jamaica,2022,4.181996858,USD millions,Central Bank Data,Latin America,BRB,JAM,5352.561584792131,14806.3802902635
Barbados,Mexico,2022,0.000827,USD millions,Central Bank Data,Latin America,BRB,MEX,5352.561584792131,1287850.32341001
Barbados,Panama,2022,0.082558817,USD millions,INEC,Latin America,BRB,PAN,5352.561584792131,70048.9853448611
Belarus,Ecuador,2021,0.12746578,USD millions,Central Bank Data,Latin America,BLR,ECU,60073.5872345107,102825.145845295
Belarus,Mexico,2022,0.005382,USD millions,Central Bank Data,Latin America,BLR,MEX,57275.1217003422,1287850.32341001
Belgium,Colombia,2022,21.769062927,USD millions,Central Bank Data,Latin America,BEL,COL,520899.825783061,354752.90089902
Belgium,Ecuador,2021,21.50461288,USD millions,Central Bank Data,Latin America,BEL,ECU,499619.240040636,102825.145845295
Belgium,Mexico,2022,0.632507,USD millions,Central Bank Data,Latin America,BEL,MEX,520899.825783061,1287850.32341001
Belgium,Panama,2022,0.493700313,USD millions,INEC,Latin America,BEL,PAN,520899.825783061,70048.9853448611
Belgium,Suriname,2022,6.562809501,USD millions,Central Bank Data,Latin America,BEL,SUR,520899.825783061,4412.832154845641
Belize,Ecuador,2021,0.0741716,USD millions,Central Bank Data,Latin America,BLZ,ECU,2302.6152665075597,102825.145845295
Belize,Mexico,2022,0.473696,USD millions,Central Bank Data,Latin America,BLZ,MEX,2524.8862052505997,1287850.32341001
Belize,Panama,2022,0.129584041,USD millions,INEC,Latin America,BLZ,PAN,2524.8862052505997,70048.9853448611
Benin,Ecuador,2021,0.02850657,USD millions,Central Bank Data,Latin America,BEN,ECU,15779.238957311702,102825.145845295
Benin,Mexico,2022,0.008055,USD millions,Central Bank Data,Latin America,BEN,MEX,16765.9064147949,1287850.32341001
Bermuda,Ecuador,2021,0.348266,USD millions,Central Bank Data,Latin America,BMU,ECU,6667.4539916761505,102825.145845295
Bermuda,Jamaica,2022,7.524725273,USD millions,Central Bank Data,Latin America,BMU,JAM,7099.25336141199,14806.3802902635
Bermuda,Mexico,2022,0.09333,USD millions,Central Bank Data,Latin America,BMU,MEX,7099.25336141199,1287850.32341001
Bermuda,Panama,2022,0.061535757,USD millions,INEC,Latin America,BMU,PAN,7099.25336141199,70048.9853448611
Bolivia,Chile,2021,9.414321651,USD millions,Central Bank Data,Latin America,BOL,CHL,36986.1268029765,273390.12003128
Bolivia,Colombia,2022,24.401610999,USD millions,Central Bank Data,Latin America,BOL,COL,38319.7283375714,354752.90089902
Bolivia,Ecuador,2021,7.44350471,USD millions,Central Bank Data,Latin America,BOL,ECU,36986.1268029765,102825.145845295
Bolivia,Mexico,2022,10.471064,USD millions,Central Bank Data,Latin America,BOL,MEX,38319.7283375714,1287850.32341001
Bolivia,Panama,2022,1.540783443,USD millions,INEC,Latin America,BOL,PAN,38319.7283375714,70048.9853448611
Bosnia and Herzegovina,Ecuador,2021,0.01810642,USD millions,Central Bank Data,Latin America,BIH,ECU,19454.6717535435,102825.145845295
Bosnia and Herzegovina,Mexico,2022,0.023966,USD millions,Central Bank Data,Latin America,BIH,MEX,20276.9839613676,1287850.32341001
Botswana,Ecuador,2021,0.002811,USD millions,Central Bank Data,Latin America,BWA,ECU,16560.1254476096,102825.145845295
Botswana,Mexico,2022,0.000963,USD millions,Central Bank Data,Latin America,BWA,MEX,17468.6167555627,1287850.32341001
Brazil,Bolivia,2022,83,USD millions,Central Bank Data,Latin America,BRA,BOL,1899505.37755802,38319.7283375714
Brazil,Chile,2021,5.424475332,USD millions,Central Bank Data,Latin America,BRA,CHL,1843881.1199202,273390.12003128
Brazil,Colombia,2022,100.096094712,USD millions,Central Bank Data,Latin America,BRA,COL,1899505.37755802,354752.90089902
Brazil,Ecuador,2021,12.98441998,USD millions,Central Bank Data,Latin America,BRA,ECU,1843881.1199202,102825.145845295
Brazil,Haiti,2019,75.644931398,USD millions,Central Bank Data,Latin America,BRA,HTI,1819683.21769938,15485.274058243
Brazil,Mexico,2022,39.469823,USD millions,Central Bank Data,Latin America,BRA,MEX,1899505.37755802,1287850.32341001
Brazil,Panama,2022,9.082440833,USD millions,INEC,Latin America,BRA,PAN,1899505.37755802,70048.9853448611
Brazil,Paraguay,2022,11.838549857,USD millions,Central Bank Data,Latin America,BRA,PRY,1899505.37755802,42037.90309474491
British Virgin Islands,Ecuador,2021,0.01832945,USD millions,Central Bank Data,Latin America,VGB,ECU,,102825.145845295
British Virgin Islands,Jamaica,2022,7.559672433,USD millions,Central Bank Data,Latin America,VGB,JAM,,14806.3802902635
British Virgin Islands,Mexico,2022,0.007236,USD millions,Central Bank Data,Latin America,VGB,MEX,,1287850.32341001
British Virgin Islands,Panama,2022,0.064766636,USD millions,INEC,Latin America,VGB,PAN,,70048.9853448611
Brunei Darussalam,Ecuador,2021,0.00104482,USD millions,Central Bank Data,Latin America,BRN,ECU,13215.632370101499,102825.145845295
Bulgaria,Ecuador,2021,0.09197525,USD millions,Central Bank Data,Latin America,BGR,ECU,59664.4782538097,102825.145845295
Bulgaria,Mexico,2022,0.031933,USD millions,Central Bank Data,Latin America,BGR,MEX,62074.1938265485,1287850.32341001
Bulgaria,Panama,2022,0.010352968,USD millions,INEC,Latin America,BGR,PAN,62074.1938265485,70048.9853448611
Burkina Faso,Ecuador,2021,0.02703836,USD millions,Central Bank Data,Latin America,BFA,ECU,16396.8501825889,102825.145845295
Burkina Faso,Mexico,2022,0.098277,USD millions,Central Bank Data,Latin America,BFA,MEX,16642.3503397932,1287850.32341001
Burundi,Ecuador,2021,0.001106,USD millions,Central Bank Data,Latin America,BDI,ECU,3318.09932775908,102825.145845295
Burundi,Mexico,2022,5.8e-05,USD millions,Central Bank Data,Latin America,BDI,MEX,3379.4509657308004,1287850.32341001
Cabo Verde,Ecuador,2021,0.02254153,USD millions,Central Bank Data,Latin America,CPV,ECU,1793.62726088123,102825.145845295
Cabo Verde,Mexico,2022,0.008431,USD millions,Central Bank Data,Latin America,CPV,MEX,2077.80374708658,1287850.32341001
